DateTime,2021 Number of flights,2020 Number of flights,2019 Number of flights
1-Jan,93897,144067,128717
2-Jan,120291,175861,162303
3-Jan,130037,175444,169310
4-Jan,137935,165733,173386
5-Jan,138303,172605,161288
6-Jan,138576,184566,156172
7-Jan,141572,183328,163601
8-Jan,139866,179306,163535
9-Jan,133933,185552,167080
10-Jan,132867,183890,172335
11-Jan,135168,154564,170304
12-Jan,139964,161515,146139
13-Jan,151105,171632,143175
14-Jan,152648,173162,160497
15-Jan,143574,187297,163077
16-Jan,126077,187023,167969
17-Jan,124504,188157,171412
18-Jan,137202,161254,171368
19-Jan,138651,165794,146099
20-Jan,142017,189099,144117
21-Jan,147337,190867,165504
22-Jan,148183,184248,165434
23-Jan,125375,189810,164357
24-Jan,114449,189551,170732
25-Jan,121921,162301,182063
26-Jan,128840,164267,158290
27-Jan,134364,176736,150084
28-Jan,139448,178310,162823
29-Jan,146372,184425,167473
30-Jan,129361,186239,169560
31-Jan,118899,184949,172592
1-Feb,121137,154067,173657
2-Feb,127998,158666,147095
3-Feb,145808,179441,143755
4-Feb,151090,170708,157962
5-Feb,146221,174865,162766
6-Feb,123893,171934,169279
7-Feb,110960,181611,170945
8-Feb,132614,169881,175057
9-Feb,129433,152651,150962
10-Feb,138101,159472,145408
11-Feb,131937,161819,159347
12-Feb,129580,176204,162972
13-Feb,107369,176585,171927
14-Feb,102833,192613,181564
15-Feb,108146,169293,183720
16-Feb,117876,157345,162656
17-Feb,141512,173785,158729
18-Feb,131775,172208,175300
19-Feb,139089,183938,173623
20-Feb,144724,183430,165324
21-Feb,143098,196756,175378
22-Feb,141073,175274,179037
23-Feb,157214,166252,161243
24-Feb,166192,173788,161890
25-Feb,168661,172456,175345
26-Feb,165237,173708,181297
27-Feb,135380,186942,181830
28-Feb,131584,194125,179643
1-Mar,144526,167470,180143
2-Mar,157518,172689,153198
3-Mar,170167,176892,149440
4-Mar,169762,182378,165254
5-Mar,173512,188674,176597
6-Mar,157575,188587,179705
7-Mar,154561,168507,182154
8-Mar,161072,171187,181259
9-Mar,161680,175350,155062
10-Mar,158729,171193,154993
11-Mar,157977,181341,176098
12-Mar,169345,179920,175953
13-Mar,149074,171961,172773
14-Mar,135481,155729,178389
15-Mar,144134,153521,183851
16-Mar,152777,157293,168129
17-Mar,155710,148325,171119
18-Mar,153282,144330,183665
19-Mar,173031,132135,188122
20-Mar,167770,129138,190106
21-Mar,154106,115564,189411
22-Mar,159927,102181,192722
23-Mar,,95227,175774
24-Mar,,98539,179298
25-Mar,,94477,169056
26-Mar,,96970,178914
27-Mar,,89276,190132
28-Mar,,69508,192223
29-Mar,,64522,193782
30-Mar,,74295,176158
31-Mar,,77465,177247
1-Apr,,80431,185743
2-Apr,,76022,184577
3-Apr,,72785,188460
4-Apr,,61570,187792
5-Apr,,57065,182959
6-Apr,,67420,167645
7-Apr,,73157,172498
8-Apr,,74591,179078
9-Apr,,68623,183011
10-Apr,,68188,178895
11-Apr,,62592,195099
12-Apr,,46294,193655
13-Apr,,54214,173790
14-Apr,,71808,163813
15-Apr,,74953,185611
16-Apr,,75216,196594
17-Apr,,72081,203239
18-Apr,,58163,200906
19-Apr,,57994,187339
20-Apr,,67434,178923
21-Apr,,75371,172458
22-Apr,,78427,197510
23-Apr,,76032,194611
24-Apr,,74831,196977
25-Apr,,68877,202680
26-Apr,,63561,190950
27-Apr,,74696,170235
28-Apr,,80714,176610
29-Apr,,76156,188526
30-Apr,,78510,188591
1-May,,81522,197625
2-May,,71244,190952
3-May,,68602,190758
4-May,,77484,171350
5-May,,84315,179229
6-May,,90071,194287
7-May,,96122,196322
8-May,,88776,188353
9-May,,81275,186535
10-May,,64344,193129
11-May,,79443,174326
12-May,,89858,170796
13-May,,94702,188640
14-May,,94368,198047
15-May,,94840,205992
16-May,,91233,202754
17-May,,87398,199481
18-May,,89296,185452
19-May,,98601,171644
20-May,,110349,181320
21-May,,121065,188400
22-May,,107821,203930
23-May,,84093,208911
24-May,,80451,210529
25-May,,84532,188596
26-May,,99868,171557
27-May,,111860,186249
28-May,,107189,188669
29-May,,112233,199763
30-May,,106999,208540
31-May,,102287,217824
1-Jun,,117797,203404
2-Jun,,118835,195567
3-Jun,,116320,199616
4-Jun,,112990,205183
5-Jun,,111025,201015
6-Jun,,93355,204126
7-Jun,,90962,206793
8-Jun,,106809,191510
9-Jun,,109757,191141
10-Jun,,115051,192994
11-Jun,,123965,206323
12-Jun,,135545,209091
13-Jun,,114310,211327
14-Jun,,103124,217326
15-Jun,,118914,191436
16-Jun,,122942,186376
17-Jun,,128775,204478
18-Jun,,128959,207100
19-Jun,,128228,209974
20-Jun,,118555,209020
21-Jun,,112276,220066
22-Jun,,121175,201351
23-Jun,,128606,200988
24-Jun,,138845,205474
25-Jun,,139183,211053
26-Jun,,135951,217669
27-Jun,,113899,221756
28-Jun,,105289,224508
29-Jun,,116337,203062
30-Jun,,125957,191917
1-Jul,,133384,204761
2-Jul,,142950,210281
3-Jul,,141940,215963
4-Jul,,116896,194521
5-Jul,,118048,197610
6-Jul,,127813,189617
7-Jul,,136786,198175
8-Jul,,139012,208985
9-Jul,,147323,216151
10-Jul,,146182,221243
11-Jul,,141124,215438
12-Jul,,143199,217564
13-Jul,,147301,202640
14-Jul,,147427,198425
15-Jul,,149426,210892
16-Jul,,148395,219299
17-Jul,,155093,219971
18-Jul,,148535,221813
19-Jul,,139824,223188
20-Jul,,145643,201011
21-Jul,,146312,202085
22-Jul,,146449,207657
23-Jul,,149118,214631
24-Jul,,151744,225296
25-Jul,,142760,230409
26-Jul,,129750,226565
27-Jul,,137884,198060
28-Jul,,140805,196075
29-Jul,,135541,209879
30-Jul,,152409,213381
31-Jul,,160034,216215
1-Aug,,145736,224610
2-Aug,,129153,218980
3-Aug,,136365,202783
4-Aug,,142681,206320
5-Aug,,159116,208326
6-Aug,,163789,207988
7-Aug,,163664,206926
8-Aug,,152224,219565
9-Aug,,145270,215485
10-Aug,,148852,190876
11-Aug,,153882,191657
12-Aug,,158289,201431
13-Aug,,158569,207213
14-Aug,,159621,215384
15-Aug,,145720,215063
16-Aug,,141931,217199
17-Aug,,147485,192203
18-Aug,,154941,190958
19-Aug,,160289,204621
20-Aug,,167110,215041
21-Aug,,159724,218435
22-Aug,,142494,224385
23-Aug,,142071,223653
24-Aug,,144217,213638
25-Aug,,148116,205374
26-Aug,,152846,204770
27-Aug,,159110,208114
28-Aug,,155275,214472
29-Aug,,133324,224682
30-Aug,,136981,225912
31-Aug,,145561,209889
1-Sep,,146148,187549
2-Sep,,152636,198599
3-Sep,,162095,196660
4-Sep,,173559,208740
5-Sep,,159021,220017
6-Sep,,141825,217665
7-Sep,,145320,200089
8-Sep,,143196,197495
9-Sep,,146196,202320
10-Sep,,153377,205346
11-Sep,,162215,208070
12-Sep,,149109,213798
13-Sep,,145029,215129
14-Sep,,148274,201472
15-Sep,,157722,197282
16-Sep,,156758,200261
17-Sep,,155895,208324
18-Sep,,164247,213812
19-Sep,,155400,217215
20-Sep,,150231,217235
21-Sep,,148551,200873
22-Sep,,154255,189962
23-Sep,,157382,195146
24-Sep,,156616,201408
25-Sep,,153321,206689
26-Sep,,132201,208904
27-Sep,,130980,210361
28-Sep,,130931,181604
29-Sep,,130882,180420
30-Sep,,155109,194024
1-Oct,,163100,195208
2-Oct,,159331,201794
3-Oct,,140138,206625
4-Oct,,135064,204330
5-Oct,,142464,188181
6-Oct,,150356,179729
7-Oct,,152426,192075
8-Oct,,161245,198105
9-Oct,,163785,198359
10-Oct,,135202,202796
11-Oct,,132441,201701
12-Oct,,132649,186101
13-Oct,,146771,187760
14-Oct,,157357,197233
15-Oct,,156068,197609
16-Oct,,157148,194587
17-Oct,,144068,205438
18-Oct,,139373,207353
19-Oct,,138651,181528
20-Oct,,138166,178744
21-Oct,,139069,186771
22-Oct,,151846,193761
23-Oct,,141878,206282
24-Oct,,128438,207139
25-Oct,,123675,202007
26-Oct,,124271,180419
27-Oct,,136318,174852
28-Oct,,142076,191158
29-Oct,,143870,186201
30-Oct,,161577,184409
31-Oct,,150905,186754
1-Nov,,122920,191678
2-Nov,,141570,176349
3-Nov,,154779,174357
4-Nov,,167179,190227
5-Nov,,166889,191909
6-Nov,,169742,197451
7-Nov,,144085,192468
8-Nov,,131575,198028
9-Nov,,137983,175403
10-Nov,,136552,178772
11-Nov,,135773,179274
12-Nov,,152913,181631
13-Nov,,156985,194213
14-Nov,,140152,198711
15-Nov,,123670,197023
16-Nov,,145682,174736
17-Nov,,148984,170225
18-Nov,,154212,185691
19-Nov,,153455,191126
20-Nov,,168452,189792
21-Nov,,150169,193031
22-Nov,,129459,194594
23-Nov,,140867,177433
24-Nov,,150370,173066
25-Nov,,147614,187646
26-Nov,,109293,190126
27-Nov,,130016,179689
28-Nov,,131483,153284
29-Nov,,135971,165164
30-Nov,,130912,167407
1-Dec,,149432,166264
2-Dec,,157000,181253
3-Dec,,161041,192123
4-Dec,,159359,195532
5-Dec,,139015,197228
6-Dec,,131888,195281
7-Dec,,138117,174242
8-Dec,,152078,163776
9-Dec,,163047,172272
10-Dec,,167196,182071
11-Dec,,157400,191475
12-Dec,,122437,195798
13-Dec,,122790,185978
14-Dec,,137180,155636
15-Dec,,150370,166464
16-Dec,,141021,182294
17-Dec,,154311,181205
18-Dec,,167781,196224
19-Dec,,151293,201618
20-Dec,,134888,199255
21-Dec,,140175,179561
22-Dec,,156499,166585
23-Dec,,153218,176614
24-Dec,,113112,151230
25-Dec,,86450,120212
26-Dec,,126552,166012
27-Dec,,137385,178009
28-Dec,,133896,168658
29-Dec,,143506,161805
30-Dec,,142838,171314
31-Dec,,116553,160672
