Date,Open Italy,High Italy,Low Italy,Close Italy,Adj Close Italy,Volume Italy,Open Spain,High Spain,Low Spain,Close Spain,Adj Close Spain,Volume Spain
2020-02-11,24617.0,24763.0,24534.0,24689.0,24689.0,405685400,"9,863.40","9,884.00","9,817.80","9,882.60","9,882.60","167,628,300"
2020-02-12,24738.0,24902.0,24735.0,24861.0,24861.0,462480100,"9,897.90","9,946.60","9,888.60","9,940.40","9,940.40","199,830,200"
2020-02-13,24769.0,24892.0,24588.0,24892.0,24892.0,526068000,"9,893.90","9,910.10","9,794.30","9,909.80","9,909.80","161,753,500"
2020-02-14,24942.0,24983.0,24832.0,24867.0,24867.0,341383900,"9,910.90","9,969.70","9,905.20","9,956.80","9,956.80","127,061,800"
2020-02-17,24962.0,25121.0,24903.0,25121.0,25121.0,0,"9,979.20","10,022.20","9,955.20","10,022.20","10,022.20","105,784,200"
2020-02-18,24986.0,25389.0,24970.0,25224.0,25224.0,737036300,"9,977.40","10,041.50","9,967.80","10,005.80","10,005.80","184,042,000"
2020-02-19,25353.0,25483.0,25272.0,25478.0,25478.0,464703000,"10,042.00","10,100.20","10,020.70","10,083.60","10,083.60","151,866,100"
2020-02-20,25415.0,25420.0,25080.0,25080.0,25080.0,445153900,"10,048.70","10,050.30","9,931.00","9,931.00","9,931.00","178,849,000"
2020-02-21,24979.0,25130.0,24670.0,24773.0,24773.0,638705500,"9,893.00","9,946.40","9,843.50","9,886.20","9,886.20","194,954,500"
2020-02-24,23919.0,24005.0,23255.0,23427.0,23427.0,977128300,"9,649.80","9,676.80","9,459.60","9,483.50","9,483.50","256,063,800"
2020-02-25,23586.0,23630.0,23046.0,23090.0,23090.0,664950800,"9,507.00","9,518.90","9,248.00","9,250.80","9,250.80","263,346,200"
2020-02-26,22961.0,23600.0,22638.0,23423.0,23423.0,737757000,"9,213.00","9,362.80","9,030.70","9,316.80","9,316.80","299,256,300"
2020-02-27,22969.0,23078.0,22480.0,22799.0,22799.0,781145900,"9,182.20","9,204.40","8,877.40","8,985.90","8,985.90","341,792,600"
2020-02-28,22059.0,22335.0,21698.0,21984.0,21984.0,1052025600,"8,748.10","8,818.60","8,582.70","8,723.20","8,723.20","497,983,900"
2020-03-02,22333.0,22361.0,21119.0,21655.0,21655.0,924414500,"8,910.20","8,913.50","8,541.10","8,741.50","8,741.50","355,485,000"
2020-03-03,22116.0,22340.0,21651.0,21748.0,21748.0,799970700,"8,860.20","9,014.30","8,776.40","8,811.60","8,811.60","351,219,900"
2020-03-04,21740.0,22204.0,21500.0,21946.0,21946.0,724365300,"8,827.80","8,963.70","8,745.90","8,910.00","8,910.00","321,258,300"
2020-03-05,22012.0,22035.0,21362.0,21555.0,21555.0,772854700,"8,960.80","8,962.50","8,639.90","8,683.00","8,683.00","342,803,500"
2020-03-06,20987.0,21151.0,20624.0,20800.0,20800.0,864917500,"8,532.60","8,542.00","8,310.40","8,375.60","8,375.60","345,901,100"
2020-03-09,20781.0,20781.0,18346.0,18476.0,18476.0,1272046600,"7,884.00","8,022.90","7,621.40","7,708.70","7,708.70","598,769,200"
2020-03-10,18654.0,19175.0,17772.0,17870.0,17870.0,1096966400,"7,815.60","8,007.70","7,440.60","7,461.50","7,461.50","506,034,000"
2020-03-11,18172.0,18410.0,17675.0,17929.0,17929.0,916163300,"7,589.30","7,717.10","7,364.60","7,436.40","7,436.40","369,150,100"
2020-03-12,17654.0,17660.0,14894.0,14894.0,14894.0,1535614400,"7,040.80","7,077.70","6,347.00","6,390.90","6,390.90","723,609,100"
2020-03-13,15108.0,17545.0,15107.0,15954.0,15954.0,1267823900,"6,763.70","7,140.50","6,468.30","6,629.60","6,629.60","473,165,800"
2020-03-16,15697.0,15699.0,14153.0,14980.0,14980.0,1218842000,"6,331.00","6,362.50","5,814.50","6,107.20","6,107.20","583,614,700"
2020-03-17,15420.0,15810.0,14696.0,15315.0,15315.0,1041111800,"6,444.50","6,557.30","6,083.00","6,498.50","6,498.50","388,451,800"
2020-03-18,14986.0,15438.0,14792.0,15120.0,15120.0,796190300,"6,370.50","6,524.20","6,174.10","6,274.80","6,274.80","398,609,500"
2020-03-19,15417.0,15844.0,15038.0,15467.0,15467.0,1016984600,"6,368.20","6,506.40","6,228.30","6,395.80","6,395.80","346,225,500"
2020-03-20,15773.0,16180.0,15617.0,15732.0,15732.0,1222210600,"6,645.40","6,769.90","6,371.10","6,443.30","6,443.30","486,796,200"
2020-03-23,15318.0,15789.0,15092.0,15560.0,15560.0,768024600,"6,223.70","6,472.00","6,148.00","6,230.20","6,230.20","282,033,200"
2020-03-24,15978.0,16949.0,15970.0,16949.0,16949.0,847366000,"6,433.30","6,717.30","6,403.60","6,717.30","6,717.30","301,211,900"
2020-03-25,17247.0,17830.0,16582.0,17244.0,17244.0,906278800,"6,985.90","7,058.10","6,625.80","6,942.40","6,942.40","322,631,900"
2020-03-26,16877.0,17369.0,16835.0,17369.0,17369.0,712229600,"6,789.00","7,033.20","6,759.10","7,033.20","7,033.20","248,806,600"
2020-03-27,17039.0,17283.0,16667.0,16823.0,16823.0,590902100,"6,916.70","6,936.70","6,661.90","6,777.90","6,777.90","225,316,500"
2020-03-30,16856.0,16925.0,16313.0,16872.0,16872.0,551307000,"6,748.60","6,789.10","6,507.00","6,659.90","6,659.90","232,005,200"
2020-03-31,17097.0,17292.0,16695.0,17051.0,17051.0,698055400,"6,746.80","6,802.00","6,624.70","6,785.40","6,785.40","258,181,200"
2020-04-01,16600.0,16845.0,16500.0,16545.0,16545.0,515027400,"6,627.30","6,687.80","6,565.20","6,579.40","6,579.40","235,113,700"
2020-04-02,16660.0,16878.0,16414.0,16834.0,16834.0,580523400,"6,633.70","6,658.90","6,424.50","6,574.10","6,574.10","233,309,800"
2020-04-03,16742.0,16791.0,16384.0,16384.0,16384.0,547565400,"6,563.60","6,632.50","6,509.40","6,581.60","6,581.60","215,387,500"
2020-04-06,16769.0,17054.0,16765.0,17039.0,17039.0,528126600,"6,807.90","6,874.90","6,728.60","6,844.30","6,844.30","225,965,400"
2020-04-07,17588.0,17887.0,17178.0,17412.0,17412.0,679854300,"6,986.90","7,119.10","6,903.60","7,002.00","7,002.00","260,857,500"
2020-04-08,17212.0,17406.0,17196.0,17381.0,17381.0,476312900,"6,930.20","6,952.50","6,860.60","6,951.80","6,951.80","155,910,100"
2020-04-09,17686.0,17756.0,17360.0,17622.0,17622.0,553979400,"7,049.30","7,116.80","6,918.70","7,070.60","7,070.60","240,348,600"
2020-04-14,17822.0,17831.0,17507.0,17558.0,17558.0,443873000,"7,209.70","7,209.70","7,080.30","7,108.60","7,108.60","259,986,200"
2020-04-15,17455.0,17543.0,16719.0,16719.0,16719.0,536650700,"7,065.60","7,086.80","6,816.40","6,839.50","6,839.50","289,924,500"
2020-04-16,17003.0,17161.0,16730.0,16768.0,16768.0,453153600,"6,930.80","6,950.90","6,733.10","6,763.40","6,763.40","237,962,600"
2020-04-17,17153.0,17308.0,16964.0,17055.0,17055.0,469218300,"6,942.50","7,000.30","6,845.00","6,875.80","6,875.80","251,272,600"
2020-04-20,17144.0,17155.0,16786.0,17064.0,17064.0,339570700,"6,932.50","6,933.30","6,715.00","6,831.50","6,831.50","186,644,500"
2020-04-21,16812.0,16935.0,16451.0,16451.0,16451.0,401986500,"6,741.30","6,760.90","6,634.90","6,634.90","6,634.90","200,783,000"
2020-04-22,16615.0,16770.0,16555.0,16765.0,16765.0,347495900,"6,685.10","6,729.60","6,654.20","6,719.80","6,719.80","177,928,500"
2020-04-23,16925.0,17145.0,16778.0,17011.0,17011.0,392978300,"6,758.70","6,797.60","6,713.60","6,746.50","6,746.50","163,723,500"
2020-04-24,16640.0,17155.0,16640.0,16859.0,16859.0,349284500,"6,641.30","6,710.80","6,578.10","6,613.90","6,613.90","182,925,300"
2020-04-27,17313.0,17380.0,17164.0,17380.0,17380.0,307768100,"6,780.90","6,790.10","6,667.30","6,731.80","6,731.80","147,263,100"
2020-04-28,17428.0,17941.0,17413.0,17677.0,17677.0,496793100,"6,724.60","6,857.90","6,707.90","6,836.40","6,836.40","233,782,400"
2020-04-29,17616.0,18076.0,17609.0,18067.0,18067.0,477978500,"6,829.40","7,055.70","6,816.80","7,055.70","7,055.70","247,762,400"
2020-04-30,18209.0,18303.0,17655.0,17690.0,17690.0,597318500,"7,084.80","7,128.40","6,918.30","6,922.30","6,922.30","314,979,200"
2020-05-04,17157.0,17345.0,17036.0,17036.0,17036.0,430626400,"6,767.70","6,767.70","6,673.30","6,673.30","6,673.30","241,555,200"
2020-05-05,17289.0,17390.0,17082.0,17387.0,17387.0,413815000,"6,772.20","6,815.90","6,680.70","6,747.70","6,747.70","203,873,600"
2020-05-06,17368.0,17500.0,17146.0,17159.0,17159.0,330052900,"6,719.80","6,762.50","6,666.20","6,671.70","6,671.70","166,015,200"
2020-05-07,17256.0,17363.0,17094.0,17245.0,17245.0,360975400,"6,714.90","6,747.20","6,666.40","6,730.90","6,730.90","167,460,700"
2020-05-08,17416.0,17462.0,17254.0,17439.0,17439.0,242317800,"6,790.70","6,807.40","6,715.40","6,783.10","6,783.10","128,578,300"
2020-05-11,17602.0,17678.0,17307.0,17381.0,17381.0,279808500,"6,830.90","6,854.70","6,651.70","6,672.20","6,672.20","217,443,300"
2020-05-12,17394.0,17602.0,17394.0,17559.0,17559.0,323340100,"6,672.70","6,795.10","6,663.20","6,762.70","6,762.70","172,853,600"
2020-05-13,17354.0,17427.0,17183.0,17183.0,17183.0,370538600,"6,694.00","6,728.20","6,631.40","6,631.40","6,631.40","245,673,600"
2020-05-14,17066.0,17177.0,16551.0,16868.0,16868.0,435987200,"6,569.70","6,609.00","6,421.40","6,545.60","6,545.60","258,952,900"
2020-05-15,17055.0,17124.0,16792.0,16852.0,16852.0,350474400,"6,594.40","6,624.30","6,466.00","6,474.90","6,474.90","203,854,400"
2020-05-18,16998.0,17446.0,16953.0,17401.0,17401.0,409926900,"6,583.10","6,790.20","6,558.10","6,779.30","6,779.30","203,486,600"
2020-05-19,17579.0,17613.0,16929.0,17035.0,17035.0,837116200,"6,864.20","6,872.60","6,555.60","6,609.10","6,609.10","501,358,300"
2020-05-20,16990.0,17248.0,16674.0,17213.0,17213.0,802296700,"6,593.40","6,697.10","6,499.10","6,683.60","6,683.60","341,451,800"
2020-05-21,16987.0,17284.0,16950.0,17087.0,17087.0,468260800,"6,612.70","6,773.40","6,579.90","6,686.10","6,686.10","258,583,100"
2020-05-22,16905.0,17386.0,16820.0,17316.0,17316.0,488722400,"6,618.20","6,751.80","6,585.70","6,697.50","6,697.50","292,688,300"
2020-05-25,17451.0,17596.0,17304.0,17596.0,17596.0,275240000,"6,766.60","6,856.80","6,725.20","6,856.80","6,856.80","187,072,800"
2020-05-26,17796.0,17894.0,17697.0,17860.0,17860.0,565674900,"6,940.60","7,023.80","6,917.10","7,003.90","7,003.90","383,729,100"
2020-05-27,17861.0,18228.0,17737.0,17910.0,17910.0,796359100,"7,034.00","7,229.00","7,030.20","7,174.50","7,174.50","501,006,600"
2020-05-28,18081.0,18414.0,18046.0,18351.0,18351.0,616898400,"7,237.30","7,244.50","7,141.40","7,224.10","7,224.10","375,466,600"
2020-05-29,18193.0,18391.0,18149.0,18198.0,18198.0,731191700,"7,164.30","7,201.80","7,096.50","7,096.50","7,096.50","903,979,900"
2020-06-01,18437.0,18531.0,18237.0,18524.0,18524.0,459197200,"7,228.70","7,276.00","7,160.10","7,221.40","7,221.40","291,929,600"
2020-06-02,18676.0,19053.0,18569.0,18971.0,18971.0,612512800,"7,264.00","7,445.30","7,236.90","7,408.10","7,408.10","402,947,100"
2020-06-03,19204.0,19642.0,19171.0,19642.0,19642.0,828030700,"7,487.30","7,629.70","7,448.90","7,626.40","7,626.40","445,036,400"
2020-06-04,19520.0,19849.0,19391.0,19634.0,19634.0,814390200,"7,567.70","7,669.20","7,516.00","7,566.80","7,566.80","514,858,000"
2020-06-05,19904.0,20198.0,19869.0,20188.0,20188.0,925086600,"7,672.00","7,890.40","7,664.10","7,872.60","7,872.60","573,283,900"
2020-06-08,20133.0,20399.0,20050.0,20231.0,20231.0,773230400,"7,813.10","7,992.70","7,796.60","7,896.10","7,896.10","557,213,300"
2020-06-09,20243.0,20274.0,19678.0,19930.0,19930.0,779956200,"7,878.20","7,914.70","7,683.20","7,752.30","7,752.30","453,061,900"
2020-06-10,20096.0,20181.0,19694.0,19758.0,19758.0,703770700,"7,779.80","7,861.00","7,649.40","7,663.90","7,663.90","355,564,600"
2020-06-11,19222.0,19353.0,18807.0,18807.0,18807.0,789867400,"7,486.50","7,486.50","7,278.00","7,278.00","7,278.00","456,667,800"
2020-06-12,18573.0,19169.0,18553.0,18888.0,18888.0,610202600,"7,232.20","7,425.30","7,205.00","7,292.70","7,292.70","370,125,100"
2020-06-15,18303.0,19065.0,18303.0,18969.0,18969.0,483442500,"7,116.90","7,309.40","7,062.90","7,259.30","7,259.30","329,041,900"
2020-06-16,19383.0,19874.0,19297.0,19626.0,19626.0,786184600,"7,420.80","7,599.30","7,349.70","7,495.30","7,495.30","388,212,600"
2020-06-17,19670.0,19876.0,19487.0,19586.0,19586.0,575170300,"7,458.10","7,552.50","7,402.50","7,478.70","7,478.70","333,500,600"
2020-06-18,19562.0,19815.0,19332.0,19486.0,19486.0,495706400,"7,436.40","7,495.20","7,318.10","7,390.20","7,390.20","326,763,200"
2020-06-19,19601.0,19741.0,19572.0,19619.0,19619.0,934839800,"7,444.20","7,502.10","7,401.00","7,414.20","7,414.20","634,635,200"
2020-06-22,19402.0,19685.0,19311.0,19479.0,19479.0,421857500,"7,371.60","7,426.90","7,300.70","7,345.70","7,345.70","220,420,500"
2020-06-23,19626.0,19885.0,19551.0,19842.0,19842.0,523455200,"7,408.80","7,495.10","7,366.60","7,438.40","7,438.40","260,896,400"
2020-06-24,19778.0,19907.0,19163.0,19163.0,19163.0,511785200,"7,403.90","7,440.90","7,195.50","7,195.50","7,195.50","248,464,400"
2020-06-25,19101.0,19319.0,18878.0,19235.0,19235.0,491616700,"7,176.40","7,295.80","7,077.80","7,270.30","7,270.30","267,871,700"
2020-06-26,19442.0,19549.0,19124.0,19124.0,19124.0,366134900,"7,324.50","7,344.90","7,172.10","7,178.40","7,178.40","215,724,300"
2020-06-29,19159.0,19541.0,19113.0,19447.0,19447.0,358186700,"7,160.10","7,318.30","7,146.30","7,278.10","7,278.10","216,619,400"
2020-06-30,19517.0,19540.0,19223.0,19376.0,19376.0,414866900,"7,270.60","7,307.50","7,173.00","7,231.40","7,231.40","233,654,700"
2020-07-01,19452.0,19455.0,19013.0,19331.0,19331.0,361833800,"7,245.60","7,283.90","7,127.10","7,227.40","7,227.40","194,032,100"
2020-07-02,19531.0,19975.0,19482.0,19887.0,19887.0,495115800,"7,292.70","7,538.20","7,292.70","7,498.60","7,498.60","310,243,600"
2020-07-03,19941.0,19969.0,19632.0,19727.0,19727.0,289547200,"7,510.30","7,520.60","7,374.90","7,403.50","7,403.50","181,467,000"
2020-07-06,20121.0,20223.0,19928.0,20032.0,20032.0,443634500,"7,566.50","7,632.30","7,517.30","7,556.20","7,556.20","253,508,300"
2020-07-07,19938.0,20066.0,19845.0,20013.0,20013.0,352024500,"7,491.50","7,511.30","7,441.30","7,447.40","7,447.40","191,351,100"
2020-07-08,19914.0,20101.0,19848.0,19900.0,19900.0,327081800,"7,361.00","7,382.70","7,307.40","7,326.40","7,326.40","213,489,300"
2020-07-09,19993.0,20008.0,19502.0,19506.0,19506.0,324855600,"7,369.90","7,383.50","7,221.10","7,236.90","7,236.90","176,465,600"
2020-07-10,19395.0,19770.0,19395.0,19768.0,19768.0,299117400,"7,198.40","7,324.30","7,183.20","7,321.10","7,321.10","182,314,500"
2020-07-13,20063.0,20067.0,19735.0,20003.0,20003.0,449146200,"7,403.20","7,452.10","7,345.90","7,426.90","7,426.90","179,024,200"
2020-07-14,19799.0,19900.0,19677.0,19880.0,19880.0,425475000,"7,344.40","7,352.00","7,268.40","7,352.00","7,352.00","201,386,900"
2020-07-15,20046.0,20361.0,19982.0,20281.0,20281.0,507289700,"7,416.10","7,529.60","7,317.60","7,487.60","7,487.60","262,957,900"
2020-07-16,20207.0,20389.0,20179.0,20356.0,20356.0,483034300,"7,438.80","7,498.00","7,425.30","7,474.70","7,474.70","178,623,900"
2020-07-17,20414.0,20427.0,20264.0,20419.0,20419.0,399015800,"7,474.10","7,485.00","7,395.80","7,440.40","7,440.40","196,831,900"
2020-07-20,20327.0,20679.0,20217.0,20621.0,20621.0,448609300,"7,442.50","7,495.50","7,365.10","7,478.00","7,478.00","148,683,100"
2020-07-21,20899.0,21133.0,20703.0,20723.0,20723.0,642358800,"7,554.20","7,654.80","7,473.50","7,494.50","7,494.50","300,453,100"
2020-07-22,20689.0,20797.0,20509.0,20599.0,20599.0,400283900,"7,474.70","7,498.60","7,368.20","7,390.10","7,390.10","192,701,200"
2020-07-23,20664.0,20689.0,20363.0,20454.0,20454.0,372189300,"7,434.70","7,442.20","7,357.20","7,384.90","7,384.90","167,589,000"
2020-07-24,20155.0,20241.0,19960.0,20075.0,20075.0,378518300,"7,301.80","7,322.70","7,241.10","7,294.70","7,294.70","183,906,100"
2020-07-27,20034.0,20163.0,19914.0,20020.0,20020.0,358176700,"7,267.80","7,268.00","7,141.30","7,170.60","7,170.60","232,707,600"
2020-07-28,20022.0,20120.0,19698.0,19903.0,19903.0,335491900,"7,191.90","7,257.30","7,170.60","7,246.40","7,246.40","162,297,200"
2020-07-29,19895.0,19973.0,19719.0,19881.0,19881.0,359277100,"7,247.60","7,260.20","7,171.30","7,206.20","7,206.20","210,361,700"
2020-07-30,19926.0,19976.0,19116.0,19228.0,19228.0,545919800,"7,192.30","7,192.70","6,924.70","6,996.60","6,996.60","324,376,500"
2020-07-31,19342.0,19532.0,19086.0,19092.0,19092.0,454759400,"7,025.20","7,049.50","6,877.40","6,877.40","6,877.40","312,298,100"
2020-08-03,19137.0,19402.0,18949.0,19380.0,19380.0,411205200,"6,867.40","6,983.30","6,788.90","6,975.00","6,975.00","282,337,300"
2020-08-04,19532.0,19658.0,19377.0,19614.0,19614.0,566864900,"7,003.00","7,064.80","6,955.40","7,021.60","7,021.60","225,242,000"
2020-08-05,19766.0,19896.0,19642.0,19740.0,19740.0,544154400,"7,073.20","7,123.50","7,027.70","7,039.70","7,039.70","208,795,900"
2020-08-06,19702.0,19834.0,19353.0,19475.0,19475.0,642423100,"7,022.10","7,046.10","6,917.00","6,957.90","6,957.90","205,847,300"
2020-08-07,19429.0,19564.0,19251.0,19516.0,19516.0,349794600,"6,929.10","6,961.80","6,876.70","6,950.50","6,950.50","184,151,000"
2020-08-10,19570.0,19668.0,19454.0,19652.0,19652.0,251844900,"7,004.40","7,053.90","6,957.00","7,053.90","7,053.90","208,030,800"
2020-08-11,19850.0,20294.0,19850.0,20209.0,20209.0,486632200,"7,104.00","7,290.10","7,104.00","7,263.50","7,263.50","271,632,300"
2020-08-12,20172.0,20463.0,20151.0,20437.0,20437.0,372877300,"7,250.30","7,317.90","7,225.70","7,296.00","7,296.00","219,850,300"
2020-08-13,20383.0,20472.0,20257.0,20257.0,20257.0,314363800,"7,267.90","7,321.90","7,240.80","7,250.50","7,250.50","159,766,300"
2020-08-14,20159.0,20185.0,19821.0,20028.0,20028.0,296289800,"7,224.10","7,227.60","7,064.00","7,154.30","7,154.30","175,803,800"
2020-08-17,20101.0,20123.0,19853.0,19950.0,19950.0,246143300,"7,141.50","7,173.30","7,064.10","7,090.10","7,090.10","131,241,200"
2020-08-18,19845.0,20159.0,19723.0,19846.0,19846.0,255470500,"7,065.70","7,165.60","7,024.40","7,043.50","7,043.50","142,775,200"
2020-08-19,19833.0,20055.0,19734.0,20055.0,20055.0,221316800,"7,039.10","7,094.30","7,002.80","7,094.30","7,094.30","132,230,000"
2020-08-20,19827.0,19921.0,19719.0,19767.0,19767.0,264922400,"7,011.40","7,034.50","6,974.90","6,993.30","6,993.30","155,668,600"
2020-08-21,19846.0,19868.0,19480.0,19695.0,19695.0,300533200,"7,016.70","7,025.90","6,900.50","6,982.10","6,982.10","171,116,500"
2020-08-24,19908.0,20130.0,19887.0,20113.0,20113.0,304828800,"7,044.20","7,120.80","7,037.30","7,109.10","7,109.10","147,789,200"
2020-08-25,20256.0,20368.0,20030.0,20030.0,20030.0,327848800,"7,147.90","7,215.10","7,103.20","7,108.40","7,108.40","189,748,500"
2020-08-26,19971.0,20137.0,19928.0,20137.0,20137.0,336048100,"7,088.40","7,136.50","7,070.40","7,123.00","7,123.00","122,064,500"
2020-08-27,20131.0,20133.0,19847.0,19847.0,19847.0,479171100,"7,114.10","7,130.20","7,029.20","7,090.70","7,090.70","162,183,000"
2020-08-28,19953.0,19992.0,19687.0,19841.0,19841.0,475736200,"7,114.70","7,162.90","7,055.10","7,133.00","7,133.00","193,354,900"
2020-08-31,19972.0,20081.0,19616.0,19634.0,19634.0,411640300,"7,174.30","7,198.30","6,960.00","6,969.50","6,969.50","205,260,600"
